player_id,player_name,espn_id,image_url
1059992972,Bez Mbeng,4898237,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4898237.png&w=350&h=254
56677844,Bilal Coulibaly,5104155,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5104155.png&w=350&h=254
48,Bismack Biyombo,6427,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6427.png&w=350&h=254
1028214958,Blake Hinson,4396963,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4396963.png&w=350&h=254
38017693,Blake Wesley,4683935,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683935.png&w=350&h=254
377,Bobby Portis,3064482,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064482.png&w=350&h=254
53,Bogdan Bogdanovic,3037789,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3037789.png&w=350&h=254
1057394921,Bogoljub Marković,5214989,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5214989.png&w=350&h=254
1091466792,Braden Smith,5105854,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105854.png&w=350&h=254
37,Bradley Beal,6580,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6580.png&w=350&h=254
1028218679,Branden Carlson,4592435,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592435.png&w=350&h=254
56677858,Brandin Podziemski,4709138,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4709138.png&w=350&h=254
227,Brandon Ingram,3913176,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3913176.png&w=350&h=254
56677823,Brandon Miller,4433287,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433287.png&w=350&h=254
24489167,Brandon Williams,4397040,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397040.png&w=350&h=254
1091349754,Brayden Burries,5082206,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5082206.png&w=350&h=254
56677842,Brice Sensabaugh,5105839,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105839.png&w=350&h=254
1028046517,Bronny James,4683774,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683774.png&w=350&h=254
283,Brook Lopez,3448,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3448.png&w=350&h=254
1057392335,Brooks Barnhizer,4684208,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684208.png&w=350&h=254
69,Bruce Brown,4065670,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065670.png&w=350&h=254
1091467104,Bruce Thornton,5105837,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105837.png&w=350&h=254
1091464608,Bryce Hopkins,4565698,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4565698.png&w=350&h=254
38017708,Bryce McGowens,4576086,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4576086.png&w=350&h=254
210,Buddy Hield,2990984,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2990984.png&w=350&h=254
17896075,Cade Cunningham,4432166,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432166.png&w=350&h=254
1057847330,Caleb Love,4433144,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433144.png&w=350&h=254
666747,Caleb Martin,3138160,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3138160.png&w=350&h=254
1091343852,Caleb Wilson,5095151,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5095151.png&w=350&h=254
1028035215,Cam Christie,4845363,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4845363.png&w=350&h=254
1028048549,Cam Spencer,4433083,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433083.png&w=350&h=254
56677831,Cam Whitmore,5105592,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105592.png&w=350&h=254
1091339280,Cameron Boozer,5041935,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5041935.png&w=350&h=254
1091349831,Cameron Carr,5113969,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5113969.png&w=350&h=254
666679,Cameron Johnson,3138196,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3138196.png&w=350&h=254
277,Caris LeVert,2991043,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991043.png&w=350&h=254
1028025235,Carlton Carrington,4845374,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4845374.png&w=350&h=254
1057271360,Carter Bryant,5061568,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5061568.png&w=350&h=254
